"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE660A07RY4","SUNDARAM FINANCE LIMITED SR Z3 6.99 NCD 28MY27 FVRS1LAC
","99.8916","99.8916","7.0300","7.0300","175.00","2"
"INE692Q07571","TOYOTA FINANCIAL SERVICES INDIA LIMITED SR S53 7.38 NCD 28AG28 FVRS1LAC","100.0000","100.0000","7.3723","7.3721","100.00","4"
"INE1C3207032","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 F 9.35 NCD 31DC32 FVRS1LAC","102.5307","102.5326","9.1504","9.1500","75.15","4"
"INE776C08075","GMR AIRPORTS LIMITED 5 BD 13AG28 FVRS1LAC","100.2928","100.2973","10.4948","10.4888","50.00","2"
"INE134E08LZ0","POWER FINANCE CORPORATION LIMITED SR 222 7.58 BD 15JN26 FVRS10LAC","100.3446","100.3446","6.5000","6.5000","50.00","1"
"INE752E08791","POWER GRID CORPORATION OF INDIA LIMITED SR LXXXII 6.98 BD 12AG35 FVRS1LAC","99.7200","99.7200","7.0008","7.0142","50.00","1"
"INE477A07415","CAN FIN HOMES LIMITED SR 2 8.09 NCD 04JN27 FVRS1LAC
","101.1692","101.1692","7.1200","7.1200","40.00","1"
"INE0TLC07085","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP A 9.30 BD 07MY27 FVRS1LAC","100.3533","100.2000","9.3190","9.4400","34.12","5"
"INE674K07051","ADITYA BIRLA CAPITAL LIMITED SR D1 7.6043 NCD 20JL35 FVRS1LAC","100.6200","100.6200","7.5050","7.5050","30.00","3"
"INE0KUG08035","NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT SR NABFID2025-1 7.43 BD 04JL34 FVRS1LAC","101.0157","101.0157","7.2600","7.2600","25.00","1"
"INE556F08KY6","-","101.3204","101.3204","7.0200","7.0200","25.00","2"
"INE002A08542","RELIANCE INDUSTRIES LIMITED SERIES H 8.95 NCD 09NV28 FVRS10LAC","105.6574","105.6574","6.8900","6.8900","25.00","1"
"INE261F08EO7","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25G 7.48 BD 15SP28 FVRS1LAC","101.3733","101.3733","6.9600","6.9600","25.00","1"
"INE020B08FV8","REC LIMITED SR 248B 6.81 BD 30AP36 FVRS1LAC","97.0210","97.0210","7.2100","7.2100","25.00","1"
"INE296A07SO6","-","101.6411","101.6511","7.2238","7.2200","20.00","2"
"INE033L07IM5","TATA CAPITAL HOUSING FINANCE LIMITED SR F 7.73 NCD 14JN30 FVRS1LAC","102.0862","102.1100","7.1361","7.1296","20.00","2"
"INE818W08131","ESAF SMALL FINANCE BANK LIMITED SR 1 11.10 BD 17JL31 FVRS1LAC","99.9423","99.9423","11.5773","11.5770","15.00","1"
"INE348L07316","MAS FINANCIAL SERVICES LIMITED SR B 9.25 NCD 16MY27 FVRS1LAC","99.6706","99.6706","9.8000","9.8000","15.00","1"
"INE721A07RU2","SHRIRAM FINANCE LIMITED SR PPD XV 23-24 OP1 TR 5 9.25 NCD 19DC25 FVRS1LAC","100.5201","100.5201","7.0000","7.0000","15.00","1"
"INE818F07336","KERALA FINANCIAL CORPORATION SR I STRPP D 8.58 BD 21JL34 FVRS1LAC","100.0000","100.0000","8.8532","8.8532","14.00","1"
"INE572F11190","RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LTD. STRPP- I  LOA 14JN28 FVRS5LAC
","82.5100","82.5100","8.4504","8.4504","14.00","1"
"INE0TLC07044","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP H 9.3 BD 09MY34 FVRS1LAC","101.1479","101.1453","9.4088","9.4100","10.50","2"
"INE160A08258","PUNJAB NATIONAL BANK SR XVII 8.40 LOA","101.6852","101.6852","7.5500","7.5500","10.00","2"
"INE535H07CQ1","SMFG INDIA CREDIT COMPANY LIMITED SR 114 7.30 NCD 10JL28 FVRS1LAC","99.7017","99.7017","7.4000","7.4000","10.00","1"
"INE08Z607083","VASTU FINSERVE INDIA PRIVATE LIMITED 9.9 NCD 03NV25 FVRS1LAC","100.1164","100.1175","8.3000","8.5000","10.00","2"
"INE511C07888","POONAWALLA FINCORP LIMITED SR C2 7.58 NCD 12SP28 FVRS1LAC","99.8734","99.8734","7.6250","7.6250","10.00","1"
"INE511C07912","POONAWALLA FINCORP LIMITED SR D1 7.5285 NCD 24SP27 FVRS1LAC","100.0271","100.0271","7.5200","7.5200","10.00","1"
"INE0TLC07101","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP F 9.30 BD 07MY32 FVRS1LAC","104.4063","101.3441","8.6737","9.3200","9.04","3"
"INE818F07328","KERALA FINANCIAL CORPORATION SR I STRPP E 8.58 BD 20JL35 FVRS1LAC","100.0000","100.0000","8.8537","8.8537","9.00","1"
"INE0TLC07028","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP G 9.30 BD 09MY33 FVRS1LAC","104.6900","104.6900","8.7000","8.7000","7.75","1"
"INE423A07328","ADANI ENTERPRISES LIMITED SR IV 9.65 NCD 12SP27 FVRS1000","99.6100","99.6200","9.8624","9.8800","6.52","2"
"INE774D07VL6","MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED SR AB2025 7.05 NCD 29JU27 FVRS1LAC","99.8994","99.8994","7.1000","7.1000","5.00","1"
"INE071G07835","ICICI HOME FINANCE COMPANY LIMITED SR HDBMAY261 7.36 BD 02MY30 FVRS1LAC","100.6200","100.6200","7.1798","7.1798","5.00","1"
"INE377Y07516","BAJAJ HOUSING FINANCE LIMITED 7.56 NCD 04OT34 FVRS1LAC","100.7210","100.7210","7.4400","7.4400","5.00","1"
"INE501X07604","AYE FINANCE LIMITED 10.25 NCD 20MR26 FVRS1LAC
","100.2306","100.2306","10.1908","10.1700","4.79","1"
"INE040A08914","HDFC BANK LIMITED SR AB002 7.97 NCD 17FB33 FVRS1LAC","103.3388","103.3388","7.3550","7.3550","4.20","1"
"INE07HK07825","KRAZYBEE SERVICES PRIVATE LIMITED 10.65 NCD 12AG27 FVRS1LAC","98.8706","98.8706","11.8054","11.9300","2.70","1"
"INE572F11208","RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LTD. STRPP- J LOA 14JN29 FVRS5LAC
","76.0800","76.0800","8.4436","8.4436","2.10","1"
"INE423A07393","ADANI ENTERPRISES LIMITED SR VII 9.30 NCD 17JL30 FVRS1000","99.9986","99.5000","9.2833","9.4150","1.70","4"
"INE457A08076","BANK OF MAHARASHTRA SR II 8 LOA 11FB31 FVRS10LAC","101.1200","101.1200","7.7200","7.7200","1.60","1"
"INE0TLC07069","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP C 9.30 BD 08MY29 FVRS1LAC","100.8844","101.1131","9.2940","9.2000","1.05","3"
"INE04HY07310","VEDIKA CREDIT CAPITAL LTD SR A 11.6 NCD 21FB27 FVRS1LAC","100.3400","100.3400","13.0432","13.5000","1.00","1"
"INE658F08433","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VI STRPPs A 9.67 BD 08AG29 FVRS1LAC","100.2486","100.3248","9.9245","9.9000","0.80","4"
"INE020B08BJ2","REC LIMITED SR GOI-VI 8.80 BD 22JN29 FVRS10LAC","104.4500","104.5100","7.4150","7.3900","0.80","2"
"INE020B08BP9","REC LIMITED SERIES 175 8.97 BD 28MR29 FVRS10LAC","104.6350","104.7200","7.4150","7.3900","0.80","2"
"INE1C3207073","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 C 9.35 NCD 31DC29 FVRS1LAC","101.2614","101.2614","9.2652","9.2652","0.50","1"
"INE1C3207065","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 D 9.35 NCD 31DC30 FVRS1LAC","101.2035","101.2050","9.2977","9.3500","0.50","2"
"INE0TLC07051","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP E 9.3 BD 09MY31 FVRS1LAC","100.9582","101.1830","9.3739","9.3200","0.35","2"
"INE0TLC07036","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP I 9.30 BD 08MY35 FVRS1LAC","101.4644","101.8863","9.3675","9.3000","0.35","2"
"INE818W08149","ESAF SMALL FINANCE BANK LIMITED SR 2 11.3 BD 14MY31 FVRS1LAC","99.0000","99.0000","12.1690","12.0435","0.30","2"
"INE342T07635","NAVI FINSERV LIMITED 10.3 NCD 30SP27 FVRS10000","99.1867","99.0390","11.2203","11.3700","0.28","3"
"INE0TLC07093","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP B 9.30 BD 09MY28 FVRS1LAC","100.4232","100.4232","9.2604","9.4000","0.25","1"
